# GHz,,,,,,,,
0.1,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38
0.2,9.27,11.27,13.27,15.27,17.27,19.27,21.27,23.27
0.3,18.23,22.22,26.21,30.2,34.19,38.18,42.17,46.16
0.4,27.19,33.17,39.15,45.13,51.11,57.09,63.07,69.05
0.5,36.15,44.12,52.09,60.06,68.03,76,83.97,91.94
0.6,45.11,55.07,65.03,74.99,84.95,94.91,104.87,114.83
0.7,54.07,66.02,77.97,89.92,101.87,113.82,125.77,137.72
0.8,63.03,76.97,90.91,104.85,118.79,132.73,146.67,160.61
0.9,71.99,87.92,103.85,119.78,135.71,151.64,167.57,183.5
1,80.95,98.87,116.79,134.71,152.63,170.55,188.47,206.39
